,Title,Document type,Reference Number,Date,Source,Status,Subject,Meeting,Treaty,Website,Field of application,Abstract
674,"First Protocol on economic, scientific and technical cooperation in the agricultural sector between the Hellenic Republic and the Islamic Republic of Iran",Bilateral,No Data,"Oct 14, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152775)",No Data,Agricultural &amp; rural development,No Data,No Data,No Data,Regional/restricted,"According to the provisions of the Agreement between the Ministry of Agriculture of the Hellenic Republic and the Ministry of Agriculture of the Islamic Republic of Iran for economic, scientific and technical cooperation in the agricultural sector (signed in Tehran on 1 May 1999), delegations of the two countries met in Tehran on 12 October 1999 in order to speed up the cooperation process. The two Parties confirmed their decision to develop a bilateral cooperation Program in the agricultural sector and to further agree upon the initiatives to be undertaken in the period 1999-2000.The fields of agricultural cooperation and fisheries were identified as areas of possible cooperation. In particular, cooperation can cover the following fields: irrigation systems and measures applied to struggle against the drought and desertification; olive culture and olive-oil production; viniculture and processing of vineyard products; open sea fishing; aquaculture."
675,"Agreement between the Government of the Russian Federation and the Government of Belarus on longterm cooperation between the Kaliningrad region and the regions, the Ministries, and the State Executive",Bilateral,No Data,"Oct 14, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150015)",No Data,"Land &amp; soil, Agricultural &amp; rural development",No Data,No Data,www.vcom.ru,Regional/restricted,"The Parties shall promote the development of agro-industrial complex, cooperation between the producers of agricultural commodities of all forms of property, and also by enterprises and organizations in the sphere of agricultural production, processing of agricultural commodities, and also shall work out the most favourable terms and conditions for lease of agricultural land for agricultural commodity producers operating on the territory of the Kaliningrad region and of the Republic of Belarus."
676,"Memorandum of Understanding on agriculture, between the Hellenic Republic and The Palestine Liberation Organisation",Bilateral,No Data,"Oct 9, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149394)",No Data,Agricultural &amp; rural development,No Data,No Data,No Data,Regional/restricted,"Both Parties, desiring to develop cooperation in the field of agriculture, have agreed to cooperate in: a) facilitating the agricultural trade between each other and in promoting agricultural trade to other countries; b) exchanging the know-how and technical expertise in agricultural related matters; c) initiating joint research and technology transfer programs; d) organising training courses, workshops, seminars and other human resource development activities. Furthermore, fields of cooperation will include, but not limited to, agricultural policy and planning, marketing, farmers\' organizations, forestry, water management, livestock, plant protection and quarantine, rainfed agriculture. [F9]The two Parties have also agreed on the establishment of a Joint agricultural Committee, chaired by the Ministers of Agriculture of both sides. This Committee shall meet at least once every two years alternately in Greece and Palestinian National Authority. Also, a technical Committee from both sides will develop a detailed cooperative plan every two years."
677,Protocol concerning Pollution from LandBased sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Multilateral,No Data,"Oct 6, 1999",IUCN (ID: TRE-001331),No Data,"Water, Sea, Air &amp; atmosphere, Waste &amp; hazardous substances",No Data,No Data,www.cep.unep.org,Regional/restricted,"Objectives: To implement article 7 of the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region concerning pollution from land-based sources and activities. Summary of provisions: The term \'land-based sources and activities\' is defined in article I. Parties undertake to, inter alia, adopt measures with a view to preventing, reducing and controlling pollution of the Convention area from land-based sources and activities, through the development and implementation of national and/or subregional or regional plans and programmes (art. III). In addition, sources categories, activities and associated pollutants listed in Annex I of the Protocol are to be dealt with specifically (art. IV). Parties further agree to, inter alia, monitor and assess the effectiveness of the measures taken to implement the Protocol (art. VI), develop environmental impact assessments (art. VII), develop information systems and networks for the exchange of information (art. VIII), and consult each other when pollution from land-based sources and activities originating from any Party is likely to affect adversely the coastal or marine environment of one or more other Party (art. IX). Public participation and awareness are to be promoted. Institutional mechanisms: Parties are to submit reports to the United Nations Environment Programme (UNEP) on their implementation of the Committee is established (art. XIV), and UNEP is designated to carry out Secretariat functions as provided in article XIII. Ordinary meetings of the Parties are to be generally held in conjunction with ordinary meetings of the Parties to the Convention (art. XV)."
678,Agreement between the Government of the Russian Federation and the Government of Hungary on cooperation in the sphere of veterinary,Bilateral,No Data,"Sep 30, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150261)",No Data,Livestock,No Data,No Data,www.government.ru,Regional/restricted,"The Parties, have agreed as follows: (a) to undertake the necessary arrangements to prevent  the propagation of infectious animal disease from one country to the other during  the transportation of animals, animal products and raw materials of animal origin, and  of  feedstuffs (art. 1); (b) the competent authorities shall exchange monthly bulletins regarding infectious animal diseases ; in case of necessity the competent veterinary bodies shall exchange information regarding  arrangements for combating infectious animal disease and the prophylaxis thereof (art. 2); (c) the exchange of delegations for conducting joint meetings, seminars and probation periods regarding veterinary issues shall be organized by mutual agreement between the Parties (art. 3)."
679,"Agreement between the Government of the Hellenic Republic and the Government of the Republic of Uganda on economic, scientific and technological cooperation",Bilateral,No Data,"Sep 29, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-148718)",No Data,Agricultural &amp; rural development,No Data,No Data,No Data,Regional/restricted,"The two parties have agreed to make every effort to develop cooperation in all fields deemed to be in their mutual interest and benefit. The cooperation shall extend, among others, in the sector of agriculture (including agro-industry) and shall be aimed at strengthening and encouraging cooperation between economic operators, with a view to promote investment, joint ventures, licensing agreements and other forms of cooperation between them."
680,Agreement between the Government of the Russian Federation and the Government of the Republic of Kazakhstan on cooperation between borderland regions thereof,Bilateral,No Data,"Sep 24, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149748)",No Data,Environment gen.,No Data,No Data,www.vcom.ru,Regional/restricted,"The Parties, in conformity with bilateral and multilateral agreements, shall undertake the necessary arrangements for the purpose of conservation and rehabilitation of environment and ensuring rational nature management, shall promote active cooperation in the sphere of prevention of natural and technological disasters and liquidation of the consequences thereof on the borderland territories."
681,Agreement between the Cabinet of Ministers of Ukraine and the Government of Kazakhstan on mitigation of the consequences of radioactive pollution,Bilateral,No Data,"Sep 17, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150798)",No Data,Environment gen.,No Data,No Data,www.rada.kiev.ua,Regional/restricted,"The Contracting Parties, emphasizing the importance of the cooperation for the mitigation of the consequences of radioactive pollution pledge to undertake joint arrangements for the rehabilitation on territory and shall exchange experience and information in the aforesaid sphere (art. 1). The forms of cooperation shall be: (a) arrangements for the environmental protection; (b) training of personnel (art. 3)."
682,"Agreement between the Ministry of Agriculture of the Russian Federation and the Ministry of Agriculture and Processing Industry of Moldova on economic, scientific and technical cooperation in the sphe",Bilateral,No Data,"Sep 2, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150399)",No Data,Cultivated plants,No Data,No Data,www.vcom.ru,Regional/restricted,"The Parties have agreed to cooperate in the following fields: (a) plant cultivation, including gardening, grape growing and tobacco growing; (b) food and processing industry including sugar beet production (art. 2). The main forms of cooperation shall be: (a) scientific, technical and production cooperation; (b) consulting; (c) exchange of information; (d) exchange of agricultural experts; (e) exchange of seeds and planting materials (art. 4)."
683,Protocol on Wildlife Conservation and Law Enforcement,Multilateral,No Data,"Aug 18, 1999",IUCN (ID: TRE-001348),No Data,Wild species &amp; ecosystems,No Data,No Data,www.sadc.int,Regional/restricted,"Objectives: To establish common approaches to the conservation and sustainable use of wildlife resources in the Region, and to assist with the effective enforcement of laws governing those resources. Summary of provisions: Parties undertake to, inter alia, adopt and enforce legal instruments necessary to ensure the conservation and sustainable use of wildlife resources, endeavour to harmonise their legal instruments governing wildlife use and conservation (art. 6), integrate management and conservation programmes into national development plans, and assess and control activities which may be detrimental to such resources (art. 7). Measures for the conservation and sustainable use of wildlife resources are to be effectively enforced (art. 4 and 9) and a regional database on the status and management of wildlife is to be established to facilitate sharing of information (art. 8). Capacity-building for effective wildlife management is to be promoted through, e.g., training programmes (art. 4 and 10). Transfrontier measures such as the establishment of conservation areas are to be promoted (art. 4), and education and research are to be developed (art. 7). Article 12 provides for sanctions against Parties which are not supportive of the Protocol. Institutional mechanisms: Entrusted with the implementation of the Protocol are: a Committee of Ministers responsible for Food, Agriculture and Natural Resources, a Committee of Senior Officials and a Technical Committee (art. 5). A Wildlife Sector Technical Co-ordinating Unit is also created to serve as, inter alia, Secretariat to the Protocol (art. 5). A Wildlife Conservation Fund is to be established (art. 11), and the Tribunal of the South African Development Commission is designated to settle disputes arising from the implementation or interpretation of this Protocol (art. 13)."
684,Treaty on the State Border between the Republic of Croatia and Bosnia and Herzegovina,Bilateral,No Data,"Jul 30, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-148992)",No Data,Sea,No Data,No Data,No Data,Regional/restricted,"This Agreement defines the land and sea boundary between Croatia and Bosnia and Herzegovina and regulates other matters in relation to the border line between the two countries, such as marking, mapping and modification. The boundary on the sea stretches along the central line of the sea between the two territories in accordance with the Law of the Sea Convention of 1982. An Interstate Committee on the Identification, Marking and Maintenance of the State border between the Republic of Croatia and Bosnia and Herzegovina is established under this Treaty."
685,Agreement between the Government of the Hellenic Republic and the Government of the Russian Federation for collaboration in the veterinary sector,Bilateral,No Data,"Jul 28, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152781)",No Data,Livestock,No Data,No Data,No Data,Regional/restricted,"The Contracting Parties desiring to develop and to promote mutually advantageous cooperation between both countries in the veterinary sector, have agreed to collaborate and take all necessary measures to prevent the spreading of infectious diseases from the territory of one Party to the territory of the other as a result of import, export and transit of live animals, animal products, raw materials of animal origin and feeding stuff. Competent veterinary authorities of both countries shall be in charge for the elaboration and signing of a respective Agreement on the aforementioned sectors, according to the provisions of the relevant European Union\'s legislation.If necessary, the two Parties shall commonly arrange and implement exchange of delegations to hold seminars, training programmes, etc. on issues of scientific and practical interest in the veterinary sector.The Hellenic Party authorizes the Directorate General of Veterinary Services of the Ministry of Agriculture and the Russian Party authorizes the Veterinary Department of the Ministry of Agriculture and Food as the structures responsible for implementing the present Agreement."
686,Agreement for cooperation between the European Atomic Energy and the Cabinet of Ministers of Ukraine in the field of nuclear safety,Bilateral,No Data,"Jul 23, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149379)",No Data,"Energy, Waste &amp; hazardous substances",No Data,No Data,europa.eu.int,Regional/restricted,"The Agreement aims to the cooperation between the two Contracting Parties in the field of nuclear safety for peaceful purposes only and taking into account the importance of environmental protection. The Agreement rests on the principle of mutual benefit. Cooperation shall cover the following areas: (a) nuclear reactor safety research; (b) radiation protection; (c) nuclear waste management; (d) decommissioning, decontamination and dismantling of nuclear installations; (e) research and development on safeguards of nuclear material; and (f) prevention of illicit trafficking of nuclear material. Cooperation shall involve among others exchange of technical information and balanced participation in joint studies and activities. A Coordinating Committee is established by article 8 to supervise the implementation of this Agreement."
687,Agreement for cooperation between the Cabinet of Ministers of Ukraine and the European Atomic Energy in the field of controlled nuclear fusion,Bilateral,No Data,"Jul 23, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150783)",No Data,Energy,No Data,No Data,www.rada.kiev.ua,Regional/restricted,"The purpose of the Agreement shall be to facilitate the achievement of fusion energy as a potentially environmentally acceptable, economically competitive, and virtually limitless source of energy. The Agreement rests on the principle of mutual benefit. Cooperation shall cover the following areas: (a) experimental and theoretical studies of plasma confinement, transport, heating and current drive (including the development of related RF systems) and diagnostics, in toroidal magnetic devices; (b) studies in plasma theory, in particular on the physics of fast ions and alpha particles in toroidal magnetic devices, and studies of turbulent plasmas and of non-linear plasma-wave interactions; (c) fusion technology; (d) applied plasma physics; (e) policy concerning programme and plans (art. 2). The cooperation shall be implemented in particular through: (a) exchange of technical information by means of reports, visits, seminars, technical meetings; (b) exchange of personnel between laboratories and/or bodies involved on both sides, including for training purposes; (c) exchange of samples, materials, instruments and apparatus for experimental purposes, (d) balanced participation in joint studies and activities (art. 3)."
688,Cooperation Agreement between the European Atomic Energy Community and the Republic of Kazakhstan in the field of nuclear safety,Bilateral,No Data,"Jul 19, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149448)",No Data,"Energy, Waste &amp; hazardous substances",No Data,No Data,europa.eu.int,Regional/restricted,"The Parties have concluded this Agreement with a view to enhancing their cooperation in the field of nuclear safety. The areas covered are the following: (a) reactor safety research; (b) radiation protection; (c) nuclear waste management; (d) decommissioning, decontamination and dismantling of nuclear installations; (e) research and development on safeguards of nuclear material. Cooperation shall be implemented by means of exchange of information and personnel, balanced participation in joint studies and activities and exchange of samples and materials (art. 3)."
689,Agreed Minutes of the fourth session of the GreekIndian Joint Economic Committee Meeting,Bilateral,No Data,"Jul 9, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-148724)",No Data,Agricultural &amp; rural development,No Data,No Data,No Data,Regional/restricted,"Both sides have expressed their interest to develop cooperation in fields of common interest and indicated specifically certain areas.Food processing and packaging: taking into consideration the existing possibilities of cooperation in processing, packaging and strategic marketing of agricultural produce and marine products, the two parties have agreed to recommend to their respective authorities to expedite the necessary follow-up actions and come up with concrete proposals. Especially as regards the dairy products sector, the Indian side informed the Greek side about the interest of specific Indian enterprises to cooperate with similar Greek enterprises.Agricultural cooperation: both sides expressed their satisfaction that their Ministries of Agriculture have finalized the text of a Memorandum of Understanding for cooperation in this field and hoped it will be signed shortly."
690,International Agreement between the Government of the Russian Federation and the Government of the Republic of Lithuania regarding cooperation in the sphere of fisheries 1999,Bilateral,No Data,"Jun 29, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149607)",No Data,Fisheries,No Data,No Data,www.government.ru,Regional/restricted,"The Governments have agreed to cooperate in the field of fisheries policy and practical activity for the purpose of research, optimum management and conservation of live aquatic biodiversity of the World Ocean, including the Baltic sea. The Parties, for the purpose of conservation of live aquatic biodiversity and its management in the Baltic sea intend co-ordinate on the basis of scientific data the fisheries arrangements. Each Party in case of availability of remnants of total allowable catch can authorize foreign fishing in the proper EEZ in the Baltic sea of vessels flying the flag of the other Party taking into consideration the traditional fisheries. Country of origin of the anadromous stock and formation of diadromous stock must ensure their safety by adoption of the respective arrangements for their reproduction and regulation along the whole route of their migration except for EEZs of foreign states. The parties will promote cooperation between Russian and Lithuanian natural and legal persons in the following directions: 1. development of fisheries outside territorial sea and EEZ of proper states; 2. rational use, conservation and management of live aquatic biodiversity in territorial sea and EEZ of proper states; 3. rational use and management of fish stock in the gulf of Kursh; 4. carrying out fisheries research; 5. rendering services in any fishing area as regards supplies to fishing vessels and transportation of fish products; 6. assistance in repairs and maintenance of fishing vessels; 7. development of aquaculture and mariculture."
691,Treaty concerning the Delimitation of the Maritime Boundary between the Republic of Equatorial Guinea and the Democratic Republic of Sao Tome and Principe,Bilateral,No Data,"Jun 26, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149136)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,"The purpose of this Treaty is to recognize between the Parties. This boundary shall be formed by geodesic lines joining co-ordinates between Annob\xc3\xb3n Island and Sao Tome Island and between Bioco Island and islands of Sao Tome and Principe as specified in article 2. Neither State will claim or exercise sovereign rights or have jurisdiction over waters, seabed and subsoil or airspace on the side of the maritime boundary belonging to the other Party. (5 articles completed by a map)"
692,Agreement between the European Community and the Swiss Confederation on trade in agricultural products,Bilateral,No Data,"Jun 21, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149415)",No Data,"Livestock, Cultivated plants, Food &amp; nutritio",No Data,No Data,europa.eu.int,Regional/restricted,"The objective of this Agreement is to strengthen the free-trade relations between the Parties by improving the access of each to the market in agricultural products of the other. For the purposes of these provisions, \xe2\x80\x9cagricultural products"" means the products listed in Chapters 1 to 24 of the International Convention on the Harmonised Commodity Description and Coding System. A Joint Committee on Agriculture, who shall be responsible for the administration of this Agreement, is set up by article 6. Eleven annexes are attached. Annexes 3 to 7 lay down detailed provisions as regards trade in cheeses, plants (giving special regard to plant health standards), animal feed, seeds and wine-products. Annex 8 sets out the principle of mutual recognition and protection of names of spirit drinks and aromatized wine-based drinks. Annex 9 applies to organically produced agricultural products and foodstuffs. As regards fruit and vegetables, Annex 10 regulates the recognition of conformity checks for fruit and vegetables subject to marketing standards. Lastly, Annex 11 on animal health and zootechnical measures applicable to trade in live animals and animal products."
693,"Agreement between Kazakhstan, Kyrgyzstan, Tajikistan and Uzbekistan in the sphere of hydrometeorology",Multilateral,No Data,"Jun 17, 1999",IUCN (ID: TRE-153683),No Data,Environment gen.,No Data,No Data,www.government.kz,,The Parties shall ensure cooperation in the following forms: 1) maintenance and functioning of the existing hydrometeorological observation stations for the purpose of development of distant environmental monitoring; 2) access to hydrometeorological information; 3) early warning system of hydrometeorological disasters; 4) joint research; 5) prevention of dangerous natural phenomena (flooding) (art. 3).
694,"Agreement between the Governments of the Republics of Kazakhstan, the Kyrgyz Republic, the Republic of Tajikistan, and the Republic of Uzbekistan on the Parallel Operation of the Energy Systems of Cen",Multilateral,No Data,"Jun 17, 1999",IUCN (ID: TRE-153678),No Data,Energy,No Data,No Data,www.ce.utexas.edu,,"The Parties, proceeding from the necessity and economic purposefulness to provide efficient operation of their own energy systems, using the current electricity transmission lines, assume the responsibility to create favourable conditions to develop and implement the advantages of a parallel operation of energy systems and restrain from actions that may damage the interests of the other Party. To form an integrated electricity and capacity market the Parties deem it expedient to consider the issue of establishing the regional Electric Power Pool of Central Asia (EPP CA). The Parties agree that: 1) The parallel operation will ensure a reliable and efficient work of the energy systems within the EPP CA; 2) The electric power pool means an aggregate of energy systems of the countries, energy producers, and electricity networks, that have been united on a voluntary basis to provide conditions for efficient and reliable electricity supplies to consumers, gaining maximum advantages of the energy systems parallel operation; 3) Each Party shall independently make the layout and identify the amount of their own electricity networks for the parallel operation with the EPP CA, proceeding from their own national interests. The Parties, while considering the issue of the EPP CA use, recognize that the reliable and economic electricity supply, and the creation of the electricity and capacity market is ensured through mutually coordinated technical and economic policies."
695,Protocol on Water and Health to the 1992 Convention on the Protection and Use of Transboundary Watercourses and International Lakes,Multilateral,No Data,"Jun 17, 1999",IUCN (ID: TRE-001306),No Data,Water,No Data,No Data,www.unece.org\n          \n            \n            treaties.un.org,Regional/restricted,"Objectives: To prevent, control and reduce water-related diseases with a view to protecting human health and well-being. Summary of provisions: Parties undertake to take all appropriate measures to prevent, control and reduce water-related diseases within a framework of integrated water-management systems aimed at sustainable use of water resources, ambient water quality which does not endanger human health, and protection of water ecosystems (art. 4). In particular, Parties are to ensure effective protection of water resources used as sources of drinking water. Parties agree to be guided by, inter alia, the precautionary principle and the preventive action principle (art. 5). Surveillance and early- warning systems are to be established to, inter alia, identify outbreaks or incidents of water-related diseases and notify them to the relevant public authorities (art. 8). Parties are also to co-operate in relation to transboundary waters with a view to preventing, controlling and reducing transboundary effects of water-related diseases (art. 13). Extensive provisions deal with public participation, public information, training and education. Institutional mechanisms: A Meeting of the Parties is established, whose ordinary meetings are to be held, where possible, in conjunction with the meetings of the Parties to the Convention (art. 16). The Executive Secretary of the Economic Commission for Europe and the Regional Director of the Regional Office for Europe of the World Health Organisation are to carry out secretariat functions as provided in article 17."
696,Cooperation Agreement between Egypt and Morocco in the field of veterinary and animal health,Bilateral,No Data,"Jun 13, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149247)",No Data,Livestock,No Data,No Data,No Data,Regional/restricted,"This Agreement is composed of 7 articles. Terms and definitions (art. 1). The two Parts will exchange information, laws and legislative texts related to veterinary services, animal health and epidemics within 30 days from the date of entry into force of this Agreement (art. 2). The two Parts will exchange experts, specialists, results of research, technology and studies related to the field of veterinary and animal health (art. 3). The two Parts will execute the unification of the sanitary conditions and quality tests concerning animals as well as work to facilitate the exchange of veterinary materials and biological products (art. 4). The Veterinary Authorities of the two Countries will work to guarantee the compatibility of animals and animal products with OIE in Paris (art. 5)."
697,Protocol to amend the 1949 Convention on the Establishement of an Inter-American Tropical Tuna Commission 1999,Multilateral,No Data,"Jun 11, 1999",IUCN (ID: TRE-001880),No Data,Fisheries,No Data,No Data,www.state.gov\n          \n            \n            www.iattc.org,Regional/restricted,"Entry into force of the Protocol requires ratification acceptance, approval or accession by all Parties to the Conventio"
698,"Wildfire Protection Agreement between the Departement of the Interior and the Department of Agriculture of the United States of America and the Secretariat of Environment, Natural Resources, and Fishe",Bilateral,No Data,"Jun 4, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-148820)",No Data,Forestry,No Data,No Data,No Data,Regional/restricted,"The purpose of this Agreement is to enable wildfire protection resources originating in the territory of one country to cross the United States-Mexico border in order to suppress wildfires on the other side of the border within the zone of mutual assistance in appropriate circumstances. The purpose of this Agreement is further to give authority for Parties to cooperate on other fire management activities outside the zone of mutual assistance. ""Wildfire"" means a fire that occurs in a ""wildland"" area, such as a range or forest, in which development is essentially non-existent except for roads, railroads, power lines, and similar transportation facilities, and structures, which if these exist, are widely scattered and are used primarily for recreation or agricultural purposes. Each Party shall immediately consider the request of the other Party, whether a Receiving Party or a sending Party, for cross-border movement of wildfire protection resources within the zone of mutual assistance, and, to the fullest extent practicable, promptly approve such request. The Parties shall ensure that annual operating plans are generated in accordance with Article VII. Each Party may obtain, as appropriate, the participation of its state, regional, local, private or tribal fire organizations in the implementation of this Agreement, subject to its national laws and regulations."
699,Protocol of 3 June 1999 for the Modification of the Convention concerning International Carriage by Rail COTIF of 9 May 1980 1999 Protocol,Multilateral,No Data,"Jun 3, 1999",IUCN (ID: TRE-148481),No Data,"Environment gen., Legal questions",No Data,No Data,otif.org,Global,No Data
700,Memorandum of Understanding concerning Conservation Measures for Marine Turtles of the Atlantic Coast of Africa,Multilateral,No Data,"May 29, 1999",IUCN (ID: TRE-001323),No Data,Wild species &amp; ecosystems,No Data,No Data,www.cms.int,Regional/restricted,"Objectives: To improve the conservation status of marine turtles and their habitats. Summary of provisions: This Memorandum of Understanding is a non legally-binding agreement under article IV(4) of the Convention on the Conservation of Migratory Species of Wild Animals (CMS). Parties agree to adopt measures for the conservation of marine turtles and, where appropriate, for their strict protection, at all stages of their life cycle. Parties further agree to, inter alia, ratify or accede to those international conventions most relevant for marine turtles conservation, implement the Conservation Plan annexed to the MoU, and co-operate with other Range States. Institutional mechanisms: The Secretariat of the Bonn Convention is designated to review annual reports of the Parties on their implementation of the Memorandum, including the Conservation Plan."
701,Agreement between the Government of the Russian Federation and the Government of the Republic of Korea on cooperation in the sphere of peaceful utilization of nuclear energy,Bilateral,No Data,"May 28, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150516)",No Data,Energy,No Data,No Data,www.government.ru,Regional/restricted,"The Parties shall cooperate in the following fields: (a) fundamental and applied research; (b) projecting, construction and operation of nuclear power plants with a view of energy production; (c) exploration of uranic deposits and radioactive waste management; (d) radiation and nuclear safety and environmental protection; (art. 2). The cooperation shall be carried out in the following forms: (a) exchange of experts; (b) exchange of information and data; (c) joint seminars and conferences; (d) supply of nuclear and non-nuclear materials, equipment, plants and technologies (art. 3)."
702,"Agreement between the Committee for Standardization, Metrology and Certification of Belarus and the Committee for Standardization, Metrology and Certification of Kazakhstan on cooperation in the spher",Bilateral,No Data,"May 28, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150996)",No Data,Environment gen.,No Data,No Data,www.gosstandart.gov.by,Regional/restricted,"The Parties, for the purpose of ensuring in the interest of compatibility of produce, its safety for human health and with the aim of environmental protection, willing to promote cooperation in the sphere of standards and certification systems, have agreed to cooperate in the following fields: (a) mutual acknowledgement of the national standardization, certification and accrediting systems (art. 1); (b) acknowledgement of test results, certification methods and compliance certificates; (c) acknowledgement of the state testing and certification laboratories; (d) elaboration of common policy with the environmental institutions related to certification of produce (art. 3). Each Party shall apply in case of necessity on its own territory the state standards of the other Party (art. 2). The Parties shall conduct coordinated policy and shall render mutual assistance within the framework of international standardization, metrology and certification organizations (art. 7)."
703,Agreement between the Governments of the Republic of Kazakhstan and Kyrgyz Republic on comprehensive use of water and energy resources of the Naryn Syr Darya Cascade Reservoirs) in 1999,Bilateral,No Data,"May 22, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-160066)",No Data,"Energy, Water",No Data,No Data,iea.uoregon.edu,Regional/restricted,No Data
704,Agreement between the Government of the Russian Federation and the Government of Syria on cooperation in the sphere of peaceful utilization of nuclear energy,Bilateral,No Data,"May 19, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150603)",No Data,Energy,No Data,No Data,www.government.ru,Regional/restricted,"The Parties shall cooperate in the following fields: (a) fundamental and applied research; (b) projecting, construction and operation of nuclear power plants with a view of energy production; (c) exploration of uranic deposits and radioactive waste management; (d) radiation and nuclear safety and environmental protection; (art. 2). The cooperation shall be carried out in the following forms: (a) exchange of experts; (b) exchange of information and data; (c) joint seminars and conferences; (d) supply of nuclear and non-nuclear materials, equipment, plants and technologies (art. 3)."
705,"Protocolo Adicional al Acuerdo para la conservacixc3xb3n de la fauna acuxc3xa1tica en los cursos de los rxc3xados limxc3xadtrofes, entre el Gobierno de la Repxc3xbablica del Paraguay y el Gobierno de ",Bilateral,No Data,"May 19, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149562)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,No Data
706,"Agreement between the Government of the Kingdom of Denmark together with the Home Government of the Faeroe Islands, on the one hand, and the Government of the United Kingdom of Great Britain and North",Multilateral,No Data,"May 18, 1999",IUCN (ID: TRE-153407),No Data,"Fisheries, Sea",No Data,No Data,No Data,,"The Parties have agreed that the continental shelf boundary in the area between the Faroe Islands and the United Kingdom within 200 nautical miles from the baselines from which the territorial sea of each Party is measured shall be a series of geodetic lines joining, in the order specified, the points listed in Schedule A to this Agreement. In the north-east, the termination point of the boundary line is the equidistant tripoint between the Faeroe Islands, Norway and the United Kingdom. In the south-west, the termination point of the boundary line is a point situated 200 nautical miles calculated from specified territorial sea basepoints. The boundary which separates the respective fishing zones of the Parties in the Area and within which the Parties exercise, or will exercise, in addition to those pertaining to the continental shelf, any sovereign rights or jurisdiction which are conferred on coastal States by international law, shall be geodetic lines joining, in the order specified, the points listed as points A to L and as points R to T in Schedule B to this Agreement. With regard to fisheries jurisdiction and rights in the Special Area as described in Schedule C, each Party shall continue as to apply the relevant rules and regulations applicable within its zone of fisheries jurisdiction concerning the management, including the issuing of fishing licences, and conduct of fisheries, to refrain from inspection and control of fishing vessels which operate in the Special Area solely under a licence issued by the other Party; and to refrain from any action that would disregard or infringe upon the exercise of fisheries jurisdiction by the other Party or the conduct of fisheries under licence issued by the other Party."
707,"Protocol between the Government of Norway and the Government of Iceland under the Agreement between the Government of Norway, the Government of Iceland, and the Government of the Russian Federation co",Bilateral,No Data,"May 15, 1999","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-148714)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,"This separate bilateral Agreement between Iceland and Norway is made under the Agreement between the Government of Norway, the Government of Iceland, and the Government of the Russian Federation concerning certain aspects of cooperation in the area of fisheries. Its provisions establish total allowable catch quotas for Icelandic vessels in the Norwegian EEZ for cod, and an amount of 30 thirty percent of bycatch. Iceland shall not fish for capelin in the Barents Sea as long as the Agreement remains in force. Article 3 specifies Norwegian fishing opportunities in the Icelandic EEZ in terms of total allowable catch of tusk, ling and blue ling with longline fisheries and capelin in specified areas. Numbers of vessels that may participate in fishing are limited to 15 for Iceland and 3 and 5 respectively for Norway. (9 articles)"
